candidate_course_label,candidate_jurisdiction,provisional_races,decision,decision_reason,physical_venue_name,iana_timezone,requests_sent,requests_reused
Prairie Meadows,United States,22,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Launceston,Australia,21,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Sunshine Coast,Australia,21,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
L'Ancresse,Guernsey,20,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Funabashi,Japan,20,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,1
Riccarton Park,New Zealand,20,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Morioka,Japan,19,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Jagersro,Sweden,19,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Canberra,Australia,18,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Mountaineer Park,United States,18,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Sam Houston,United States,18,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Le Croise-Laroche,France,17,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Bendigo,Australia,16,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,1
Seoul,South Korea,16,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Colonial Downs,United States,16,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Klampenborg,Denmark,15,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Scone,Australia,14,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Valparaiso Sporting Club,Chile,14,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,3
Mombetsu,Japan,14,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Lone Star Park,United States,14,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Le Touquet,France,13,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Urawa,Japan,13,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Penn National,United States,13,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Percy Warner Park,United States,13,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Pardubice,Czech Republic,12,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Gulfstream Park West,United States,12,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Moulins,France,11,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Dresden,Germany,11,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
